Semester,Branch,Subject,Subject Name,Date,Time,Old Date,Old Time,Exam Mode,Total QP Marks
1,01,1510101,Business Mathematics,09 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001011,Principles and Practices of Management,09 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,1510102,Microeconomics,11 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001021,Financial Accounting,11 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,1510103,Fundamentals of Information Technology,15 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001031,Business Statistics and Logic,15 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,1510104,Fundamentals of Financial Accounting,16 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001041,General and Communicative English,16 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,1510105,Gujarati Culture and Business,17 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001051,Indian Knowledge Systems,17 Dec 2025,10:30 AM TO 12:00 PM,,,Offline descriptive type exam as per routine practice of University,50
1,01,1510106,English Grammar and Composition,18 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BB01001061,Fundamentals of ESG for Sustainability,18 Dec 2025,10:30 AM TO 12:00 PM,,,Offline descriptive type exam as per routine practice of University,50
2,01,1520102,Corporate Accounting,01 Dec 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BB02001021,Cost Accounting,01 Dec 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,1520103,Management Information Systems,03 Dec 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BB02001031,Human Behaviour in Organisations,03 Dec 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,1520104,Business Statistics,05 Dec 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BB02001041,Business Communication,05 Dec 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BB02001061,Design Thinking and Innovation,08 Dec 2025,02:30 PM TO 04:00 PM,,,Offline descriptive type exam as per routine practice of University,50
2,01,1520105,Indian Business System,08 Dec 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,1520101,Macro Economics,28 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BB02001011,Business Economics,28 Nov 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,1530102,Organizational Behaviour,01 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001021,Human Resource Management,01 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB02001031,Human Behaviour in Organisations,03 Dec 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,1530103,Managerial Communication,03 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001031,Management Information System,03 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB02001041,Business Communication,05 Dec 2025,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,1530104,Business Law,05 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001041,Marketing Management,05 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB02001061,Design Thinking and Innovation,08 Dec 2025,02:30 PM TO 04:00 PM,,,Offline descriptive type exam as per routine practice of University,50
3,01,1530105,Human Values and Professional Ethics,08 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001051,Health and Wellness,08 Dec 2025,10:30 AM TO 12:00 PM,,,Offline descriptive type exam as per routine practice of University,50
3,01,1530106,Advanced Business Statistics,10 Dec 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001061,Legal and Ethical Issues in Business,10 Dec 2025,10:30 AM TO 12:00 PM,,,Offline descriptive type exam as per routine practice of University,50
3,01,BB01001031,Business Statistics and Logic,15 Dec 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,1530101,Cost Accounting,28 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BB03001011,Management Accounting,28 Nov 2025,10:30 AM TO 01:30 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540101,Management Accounting,11 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540102,Basics of Marketing Management,13 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540103,Fundamentals of Financial Management,15 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540104,Introduction of Human Resource Management,18 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540105,Basics of Production and Operation Management,20 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,1540106,Event Management,24 Nov 2025,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550101,Research Methodology,11 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550102,Advance Marketing Management,13 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550103,Corporate Finance,15 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550104,Human Resource Development,18 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550105,Advance Production and Operation Management,20 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550106,Indian Financial System,24 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550107,Sales Management and CRM,24 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
5,01,1550108,Performance Management and Compensation,24 Nov 2025,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
