Semester,Branch,Subject,Subject Name,Date,Time,Old Date,Old Time,Exam Mode,Total QP Marks
1,01,BC01001011,Fundamental of Computer Organization,12 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001021,Fundamental of Programming,14 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001031,Fundamentals of Web Technology,18 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001041,Fundamentals of Statistical Methods,18 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001051,Mathematics-1,20 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001071,Communication Skills,22 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
1,01,BC01001081,Indian Knowledge System,26 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001081,Professional Ethics,02 Jun 2026,10:30 AM TO 01:00 PM,28 May 2026,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001011,Data Structure,13 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001021,Database Management System,15 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001031,Advanced Web Technology,19 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001041,Advanced Statistical Methods,19 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001051,Mathematics-2,21 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
2,01,BC02001071,Technical Writing,25 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BC03001011,Operating System,13 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BC03001021,Object Oriented Programming with Java,15 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BC03001031,Computer Networking,19 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BC03001041,Mathematical Foundation for AI,21 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
3,01,BC03001071,Design Thinking and Innovation,25 May 2026,02:30 PM TO 05:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001011,Design and Analysis of Algorithms,12 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001021,Software Engineering,14 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001031,Cryptography and Network Security,18 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001041,Programming with Python,20 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001051,Mobile Application Development,22 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001061,Introduction to UI/UX,26 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
4,01,BC04001071,Environmental Science and Sustainability,29 May 2026,10:30 AM TO 01:00 PM,,,Offline descriptive type exam as per routine practice of University,70
