Semester,Branch,Subject,Subject Name,Date,Time,Old Date,Old Time,Exam Mode,Total QP Marks
1,92,810001,Accounting for Managers,09 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,2810001,Accounting for Managers,09 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,3519201,Accounting for Manager,09 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,4519201,Management Accounting,09 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,MB01092011,Management Accounting,09 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,810002,Economics for Managers,10 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,2810002,Economics for Managers,10 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,3519202,Economics for Manager,10 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,4519202,Economics for Manager,10 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,MB01092021,Economics for Managers,10 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,810003,Management Information Systems,11 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,2810003,Managerial Communication,11 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,3519203,Managerial Communication,11 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,4519203,Managerial Communication,11 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,MB01092031,Information Systems and Analytics for Management Decision Making,11 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,810004,Managerial Communication,12 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,2810004,Organizational Behaviour,12 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,3519204,Organizational Behavior,12 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,4519207,Business Statistics,12 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,MB01092041,Business Statistics,12 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,810005,Organizational Behaviour,15 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,2810005,Principles of Management,15 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,3519205,Business Structure & Management,15 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
1,92,4519204,Organizational Behaviour,15 Jun 2026,02:30 PM TO 05:30 PM,,,Offline descriptive type exam as per routine practice of University,70
